, ID3=0x11, v3=0.00, vZ3=0.29
ID=0x12, v1=0.00, vZ1=17.62,ID2=0x13, v2=0.00, vZ2=2.79, ID3=0x11, v3=0.00, vZ3=12.96
ID=0x12, v1=0.00, vZ1=17.81,ID2=0x13, v2=0.00, vZ2=7.15, ID3=0x11, v3=0.00, vZ3=12.96
ID=0x12, v1=0.00, vZ1=17.96,ID2=0x13, v2=0.00, vZ2=4.10, ID3=0x11, v3=0.00, vZ3=12.96
ID=0x12, v1=0.00, vZ1=18.16,ID2=0x13, v2=0.00, vZ2=7.15, ID3=0x11, v3=0.00, vZ3=18.67
ID=0x12, v1=0.00, vZ1=18.41,ID2=0x13, v2=0.00, vZ2=5.57, ID3=0x11, v3=0.00, vZ3=13.80
ID=0x12, v1=0.00, vZ1=18.74,ID2=0x13, v2=0.00, vZ2=8.79, ID3=0x11, v3=0.00, vZ3=14.60
ID=0x12, v1=0.00, vZ1=19.10,ID2=0x13, v2=0.00, vZ2=7.15, ID3=0x11, v3=0.00, vZ3=18.80
ID=0x12, v1=0.00, vZ1=19.40,ID2=0x13, v2=0.00, vZ2=7.15, ID3=0x11, v3=0.00, vZ3=18.99
ID=0x12, v1=0.00, vZ1=19.57,ID2=0x13, v2=0.00, vZ2=7.15, ID3=0x11, v3=0.00, vZ3=19.28
ID=0x12, v1=0.00, vZ1=19.52,ID2=0x13, v2=0.00, vZ2=7.15, ID3=0x11, v3=0.00, vZ3=18.52
ID=0x12, v1=0.00, vZ1=19.22,ID2=0x13, v2=0.00, vZ2=7.15, ID3=0x11, v3=0.00, vZ3=18.52
ID=0x12, v1=0.00, vZ1=18.68,ID2=0x13, v2=0.00, vZ2=7.15, ID3=0x11, v3=0.00, vZ3=18.52
ID=0x12, v1=0.00, vZ1=17.95,ID2=0x13, v2=0.00, vZ2=7.15, ID3=0x11, v3=0.00, vZ3=18.52
ID=0x12, v1=0.00, vZ1=17.09,ID2=0x13, v2=0.00, vZ2=14.71, ID3=0x11, v3=0.00, vZ3=18.52
ID=0x12, v1=0.00, vZ1=16.15,ID2=0x13, v2=0.00, vZ2=14.71, ID3=0x11, v3=0.00, vZ3=18.52
ID=0x12, v1=0.00, vZ1=15.11,ID2=0x13, v2=0.00, vZ2=8.79, ID3=0x11, v3=0.00, vZ3=18.52
ID=0x12, v1=0.00, vZ1=13.97,ID2=0x13, v2=0.00, vZ2=10.46, ID3=0x11, v3=0.00, vZ3=19.58
ID=0x12, v1=0.00, vZ1=12.70,ID2=0x13, v2=0.00, vZ2=15.43, ID3=0x11, v3=0.00, vZ3=11.66
ID=0x12, v1=0.00, vZ1=11.25,ID2=0x13, v2=0.00, vZ2=15.43, ID3=0x11, v3=0.00, vZ3=19.67
ID=0x12, v1=0.00, vZ1=9.53,ID2=0x13, v2=0.00, vZ2=15.43, ID3=0x11, v3=0.00, vZ3=10.31
ID=0x12, v1=0.00, vZ1=7.51,ID2=0x13, v2=0.00, vZ2=15.43, ID3=0x11, v3=0.00, vZ3=8.70
ID=0x12, v1=0.00, vZ1=5.24,ID2=0x13, v2=0.00, vZ2=15.43, ID3=0x11, v3=0.00, vZ3=15.93
ID=0x12, v1=0.00, vZ1=2.79,ID2=0x13, v2=0.00, vZ2=15.43, ID3=0x11, v3=0.00, vZ3=6.80
ID=0x12, v1=0.00, vZ1=0.28,ID2=0x13, v2=0.00, vZ2=15.43, ID3=0x11, v3=0.00, vZ3=6.80
ID=0x12, v1=0.00, vZ1=-2.21,ID2=0x13, v2=0.00, vZ2=15.43, ID3=0x11, v3=0.00, vZ3=6.80
ID=0x12, v1=0.00, vZ1=-4.65,ID2=0x13, v2=0.00, vZ2=15.43, ID3=0x11, v3=0.00, vZ3=6.80
ID=0x12, v1=0.00, vZ1=-6.99,ID2=0x13, v2=0.00, vZ2=15.43, ID3=0x11, v3=0.00, vZ3=6.80
ID=0x12, v1=0.00, vZ1=-9.18,ID2=0x13, v2=0.00, vZ2=15.57, ID3=0x11, v3=0.00, vZ3=6.80
ID=0x12, v1=0.00, vZ1=-11.20,ID2=0x13, v2=0.00, vZ2=8.68, ID3=0x11, v3=0.00, vZ3=6.80
ID=0x12, v1=0.00, vZ1=-13.02,ID2=0x13, v2=0.00, vZ2=8.68, ID3=0x11, v3=0.00, vZ3=6.80
ID=0x12, v1=0.00, vZ1=-14.62,ID2=0x13, v2=0.00, vZ2=13.68, ID3=0x11, v3=0.00, vZ3=6.80
ID=0x12, v1=0.00, vZ1=-16.04,ID2=0x13, v2=0.00, vZ2=8.68, ID3=0x11, v3=0.00, vZ3=6.80
ID=0x12, v1=0.00, vZ1=-17.31,ID2=0x13, v2=0.00, vZ2=11.54, ID3=0x11, v3=0.00, vZ3=-19.26
ID=0x12, v1=0.00, vZ1=-18.52,ID2=0x13, v2=0.00, vZ2=5.27, ID3=0x11, v3=0.00, vZ3=-0.11
ID=0x12, v1=0.00, vZ1=-19.76,ID2=0x13, v2=0.00, vZ2=5.27, ID3=0x11, v3=0.00, vZ3=-20.03
ID=0x12, v1=0.00, vZ1=-21.16,ID2=0x13, v2=0.00, vZ2=5.27, ID3=0x11, v3=0.00, vZ3=-20.92
ID=0x12, v1=0.00, vZ1=-23.02,ID2=0x13, v2=0.00, vZ2=5.27, ID3=0x11, v3=0.00, vZ3=-11.05
ID=0x12, v1=0.00, vZ1=-25.61,ID2=0x13, v2=0.00, vZ2=5.27, ID3=0x11, v3=0.00, vZ3=-22.10
ID=0x12, v1=0.00, vZ1=-28.75,ID2=0x13, v2=0.00, vZ2=5.27, ID3=0x11, v3=0.00, vZ3=-16.17
ID=0x12, v1=0.00, vZ1=-32.05,ID2=0x13, v2=0.00, vZ2=5.27, ID3=0x11, v3=-170141183460469240000000000000000000000.00, vZ3=-16.17
ID=0x12, v1=0.00, vZ1=-35.06,ID2=0x13, v2=0.00, vZ2=5.27, ID3=0x11, v3=-170141183460469240000000000000000000000.00, vZ3=-16.17
ID=0x12, v1=0.00, vZ1=-37.31,ID2=0x13, v2=0.00, vZ2=5.27, ID3=0x11, v3=-170141183460469240000000000000000000000.00, vZ3=-16.17
ID=0x12, v1=0.00, vZ1=-38.58,ID2=0x13, v2=0.00, vZ2=-16.76, ID3=0x11, v3=-170141183460469240000000000000000000000.00, vZ3=-16.17
ID=0x12, v1=0.00, vZ1=-39.09,ID2=0x13, v2=0.00, vZ2=-16.76, ID3=0x11, v3=-170141183460469240000000000000000000000.00, vZ3=-16.17
ID=0x12, v1=0.00, vZ1=-39.22,ID2=0x13, v2=0.00, vZ2=-16.76, ID3=0x11, v3=0.00, vZ3=-37.49
ID=0x12, v1=0.00, vZ1=-39.38,ID2=0x13, v2=0.00, vZ2=-21.22, ID3=0x11, v3=0.00, vZ3=-37.31
ID=0x12, v1=0.00, vZ1=-39.79,ID2=0x13, v2=0.00, vZ2=-21.22, ID3=0x11, v3=0.00, vZ3=-23.65
